id,chat,label,cleaned_message
8391,cina kristen munafik berhenti mengolok2 gereja stiap dibriefing cina menghina si bumi datar,racist,cina kristen munafik berhenti mengolok gereja stiap dibriefing cina menghina si bumi datar
8392,user user user user user user iyain dah tante jablay wkwk,harassment,iyain dah tante jablay
8393,user user totol ketemu tolol,violence,totol ketemu tolol
8394,bocah kntl build lu ngasal bego,harassment,bocah kntl build kamu ngasal bego
8395,penjoki anjg bintang ku terjun bebas,violence,penjoki anjg bintang ku terjun bebas
8396,hadeh user jujur bohongi,neutral,hadeh jujur bohongi
8397,room kek labirin skalinya buff gk masak room kntol,harassment,rom kek labirin skalinya buf gk masak rom kntol
8398,gini yaa mbaknyah udah ngaku dewasa bedain tuh perilaku perilaku buruk aing si cowok brengsek,neutral,gini ya mbaknyah sudah ngaku dewasa bedain tuh perilaku perilaku buruk aing si cowok brengsek
8399,hadeehhh tier neraka part 2,violence,hadeh tier neraka part
8400,user lahir langsung makan nasi gapake nete,harassment,lahir langsung makan nasi gapake nete
8401,2 bhineka islam memperlakukan kafir dhimmi haknya diinjakinjak,neutral,bhineka islam memperlakukan kafir dhimi haknya dinjakinjak
8402,cuk ping gw merah bgsstttt,violence,cuk ping saya merah bgst
8403,user user user ban cabul yg bodohi si cabul terbukti cabul kabur skrg terluntalunta arab,racist,ban cabul yang bodohi si cabul terbukti cabul kabur skrg terluntalunta arab
8404,bug dibaikin montod skin tros yg update,harassment,bug dibaikin montod skin tros yang update
8405,pd ngerti ngumpul gk ajig,violence,pd ngerti ngumpul gk ajig
8406,male maen gw njeng characternya bgo,violence,male maen saya njeng characternya bgo
8407,user user tolol buktikan katanya2 aja,violence,tolol buktikan katanya saja
8408,kau buta 3vs5 mw dilawan,violence,kau buta vs mw dilawan
8409,report wanwan anjing beban tim,violence,report wanwan anjing beban tim
8410,cinta yg sejati buta sekelilingmu eikichi gto,neutral,cinta yang sejati buta sekelilingmu eikichi gto
8411,user ayo ma udah becek nih memek,harassment,ayo ma sudah becek memek
8412,character bct maen kek bot,violence,character bct maen kek bot
8413,org jawa otaknya dengkul,racist,org jawa otaknya dengkul
8414,tolol nya tuh parah pisan lecehin trus korban nya maki2 diem doang sibuk hp woi tolol mikir anying kalo nyokap ato ade ato kakak lo gituin gimana goblok cewe lo lecehin trus lo diem doang,violence,tolol nya tuh parah pisan lecehin terus korban nya maki diem doang sibuk hp woi tolol mikir anying kalau nyokap ato ade ato kakak lo gituin gimana goblok cewe lo lecehin terus lo diem doang
8415,user beda negara beda definisi definisi user pemulung tki tkw pengemis nggak miskin krn makan 3x sehari income gtrp 600000bulan dll,neutral,beda negara beda definisi definisi pemulung tki tkw pengemis ngak miskin krn makan x sehari income gtrp bulan dl
8416,asing membenci bising adakah hubungan rumit dibanding bersahabat hening,neutral,asing membenci bising adakah hubungan rumit dibanding bersahabat hening
8417,laskar liar penjahat kelompok jawara mengambil tanahtanah milik tuan tionghoa laskar hitam,racist,laskar liar penjahat kelompok jawara mengambil tanahtanah milik tuan tionghoa laskar hitam
8418,character ngetroll game anjing indog,racist,character ngetrol game anjing indog
8419,user user user alamat kerjaku udah kukasih ajah biar kubuktikan kau lgbt aka banci kaleng,harassment,alamat kerjaku sudah kukasih ajah biar kubuktikan kau lgbt aka banci kaleng
8420,surren ae cok mmnya sibuk ngebuff,violence,suren ae cok mnya sibuk ngebuf
8421,kembang bangkai,neutral,kembang bangkai
8422,user lahhh coba cina kafir teriak nihh hahaha,racist,lah coba cina kafir teriak hahaha
8423,user bocah geblek penjara tempatnya,violence,bocah geblek penjara tempatnya
8424,user \xc3\x97\n\n oh kau crow gadis asing rasanyatidak pernahpernahentahlah kenal,neutral,n oh kau crow gadis asing rasanyatidak pernahpernahentahlah kenal
8425,intinya yg lawan katanyaintine lekno matamuaku bajingan kuwe yo bajingan podo wae rak kakean aliby intine podo,violence,intinya yang lawan katanyaintine lekno matamuaku bajingan kuwe yo bajingan podo wae rak kakean aliby intine podo
8426,matamu sante cok lord dah masuk base,violence,matamu sante cok lord dah masuk base
8427,user udh diketekin onta belom bang\n\nga sombong,violence,udh diketekin onta belom bangnga sombong
8428,montod ngentooood dikasih tim ampas kek gini,harassment,montod ngentod dikasih tim ampas kek gini
8429,user user user ya dihentikan kl mmng anti aseng \nmakanya jngn politik sara \nbisa merusak kerukunan manusia,racist,ya dihentikan kl mng anti aseng nmakanya jngn politik sara nbisa merusak kerukunan manusia
8430,memerhati chef barat menilai salah ttg ayam rendang terfikir tersalah menilai seni catan sastera filem hasil seni budaya sebelah kaca mata cita,neutral,memerhati chef barat menilai salah tg ayam rendang terfikir tersalah menilai seni catan sastera filem hasil seni budaya sebelah kaca mata cita
8431,joss nggih,neutral,jos ngih
8432,yerusalem orangorang diajarkan indahnya keragaman toleransi wajah kota suci agama islam kristen yahudi toleran,neutral,yerusalem orangorang diajarkan indahnya keragaman toleransi wajah kota suci agama islam kristen yahudi toleran
8433,user user tiada paksaan dlm islam kafir murtad monggo sj aplg skdr budaya lokal islam smpurna berproses islam menghormati,neutral,tiada paksan dlm islam kafir murtad mongo sj aplg skdr budaya lokal islam smpurna berproses islam menghormati
8434,lu gblok character bacot doang,violence,kamu gblok character bacot doang
8435,top global 1 narik angin top global joki bang wkwkw,violence,top global narik angin top global joki bang wkwkw
8436,hadeuuh udh po eh pa barang dateng yg cacat mending refund ajalah rugi ratusan reben,violence,hadeuh udh po eh pa barang dateng yang cacat mending refund ajalah rugi ratusan reben
8437,mendasar user kitab suci fiksi fakta oposisi brtopeng agama kitab suci fiksi alias kumpulan cerita fiktif umat cerdas amp beriman kitab suci adlh fakta kebenaran merujuk pd ayat al quran bhw tdk k,neutral,mendasar kitab suci fiksi fakta oposisi brtopeng agama kitab suci fiksi alias kumpulan cerita fiktif umat cerdas amp beriman kitab suci adlh fakta kebenaran merujuk pd ayat all quran bhw tidak k
8438,tank panteeqqq gem gua sia2 cok,violence,tank panteq gem gua sia cok
8439,user gue gak baca bodo,violence,saya tidak baca bodo
8440,recoil mu kek kontol turun gak,harassment,recoil mu kek kontol turun tidak
8441,yuk acara launching kajian ekonomi syariah user jakarta jumat 20 april 2018 1245 1400 bada jumatan tema berinvestasi pasar modal syariah halal haram narasumber ustad mahbub maafi ram,neutral,yuk acara launching kajian ekonomi syariah jakarta jumat april bada jumatan tema berinvestasi pasar modal syariah halal haram narasumber ustad mahbub mafi ram
8442,user rb slot pemain asing asiaasean\nam raphael maitimo\n\nojok lali striker buangpinjamkan 1 2 trus beli lokal 1 asing argentina 1,neutral,rb slot pemain asing asiaseanam raphael maitimonojok lali striker buangpinjamkan terus beli lokal asing argentina
8443,woi medicnya kek bekicot lambat bgt,violence,woi medicnya kek bekicot lambat banget
8444,takutnya bajingan minoritas cina negeri mayoritas islam berulang ulang melecehkan ulam\xe2\x80\xa6,racist,takutnya bajingan minoritas cina negeri mayoritas islam berulang ulang melecehkan ulam
8445,woy mmek lo hitam kek palkon,harassment,woy mek lo hitam kek palkon
8446,budeg dibilang turun pochinki cuk team budeg,violence,budeg dibilang turun pochinki cuk team budeg
8447,user user kuy adek gua sarap kaga,violence,kuy adek gua sarap kaga
8448,aim ampas gue pake panci aja wes duel,violence,aim ampas saya pake panci saja wes duel
8449,user anak cebong n kampret yg polo ga ikutan cebong n kampret tua \xf0\x9f\x98\x82\xf0\x9f\x98\x80\xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\xe2\x98\x95\xe2\x98\x95,racist,anak cebong n kampret yang polo tidak ikutan cebong n kampret tua n
8450,nyetir gak si sim lu nembak gblog tau musuh didatengin,violence,nyetir tidak si sim kamu nembak gblog tau musuh didatengin
8451,user user o orang pacaran mantul\nv vicuw oknumnya\ne edan so sweet bener\nr nyempil mereka\nd lihat mail sayang vicuw\no oalah beneran sayang\ns sayang ya kan\ni dinamakan cinta\ns semoga bahagia,neutral,o orang pacaran mantulnv vicuw oknumnyane edan so swet benernr nyempil merekand lihat mail sayang vicuwno oalah beneran sayangns sayang ya kani dinamakan cintans semoga bahagia
8452,gue granat palalu dikasih tau suruh planking maju,violence,saya granat palalu dikasih tau suruh planking maju
8453,skin elit aim sulit mo sasaran tembak,violence,skin elit aim sulit mo sasaran tembak
8454,planking begooo mati jengking,violence,planking bego mati jengking
8455,user wkkkkkk dasar cebong,violence,wk dasar cebong
8456,user bagus anjir lockscreen\xe2\x9d\xa4,neutral,bagus anjir lockscren
8457,user user user user berita nya geogle aja oh ya peraturan pemerintah yg mempermudah masuk nya tka indonesia jdi tka ngak bantah karna uu yg mendukung \xf0\x9f\x98\x8,racist,berita nya geogle saja oh ya peraturan pemerintah yang mempermudah masuk nya tka indonesia jdi tka ngak bantah karna u yang mendukung x
8458,pakdeku muslim asu juga\nbiasa aja tuh\ngak ribet\nkl emang takut sm asu makane gak asu dirumah\nberagamalah yg benar\nyg bersanad otakmu gak slewah url,neutral,pakdeku muslim asu juganbiasa saja tuhngak ribetnkl memang takut sama asu makane tidak asu dirumahnberagamalah yang benarnyg bersanad otakmu tidak slewah url
8459,user aduh aduh nenek tua jahat politik identitas hatimu buta coba pikir norak kampungan nek nek,violence,aduh aduh nenek tua jahat politik identitas hatimu buta coba pikir norak kampungan nek nek
8460,user spill nama restorannya gue tinggal papua amp seinget gue harga pangan disana mahal mbaknya goblok cacat,violence,spil nama restoranya saya tingal papua amp seinget saya harga pangan disana mahal mbaknya goblok cacat
8461,user gajian mesti kntl,harassment,gajian mesti kntl
8462,bocil mytic gendongan retri indomaret,violence,bocil mytic gendongan retri indomaret
8463,user iya eh dikupingku kek gak asing wkwk,neutral,iya eh dikupingku kek tidak asing
8464,user user ngomong ngigau,violence,ngomong ngigau
8465,pantes idiot makananya upil url,violence,pantes idiot makananya upil url
8466,tu rifle shotgun aim nyebar tolol,violence,tu rifle shotgun aim nyebar tolol
8467,user male banget ak berjodoh sm upil onta,violence,male banget ak berjodoh sama upil onta
8468,user abisan tuh ngomongnya lancar banget gituloh gaada canggung samsek gatau kalo yg nonton senyam senyum kek orang idiot,violence,abisan tuh ngomongnya lancar banget gituloh gada cangung samsek gatau kalau yang nonton senyam senyum kek orang idiot
8469,kali turun pesawat ya dek knock gih,violence,kali turun pesawat ya dek knock gih
8470,bismillah semoga ngga salah pilihan inget lohh milih gubernur kaya milih calon pasangan hidup tau bibit bebet bobotnya nyari yg nyari yg udah benr2 kebukti,neutral,bismilah semoga nga salah pilihan inget loh milih gubernur kaya milih calon pasangan hidup tau bibit bebet bobotnya nyari yang nyari yang sudah benr kebukti
8471,dasar jawabisanya ngarit buff,racist,dasar jawabisanya ngarit buf
8472,daritadi nungging mainin memek sange bgt cuy,harassment,daritadi nunging mainin memek sange banget cuy
8473,lo bedain granat ama smoke granat gak si,violence,lo bedain granat ama smoke granat tidak si
8474,disuruh nembak kotak kocak,violence,disuruh nembak kotak kocak
8475,yahaha ngerangkak kek bayi nyari susu,harassment,yahaha ngerangkak kek bayi nyari susu
8476,udah ngerangkak kek bayi,neutral,sudah ngerangkak kek bayi
8477,ditimbang tinta ulama darah syuhada beratlah tinta ulama darah syuhada hasan albashri,neutral,ditimbang tinta ulama darah syuhada beratlah tinta ulama darah syuhada hasan albashri
8478,poke lu anjing yatim bgst,violence,poke kamu anjing yatim bgst
8479,anak pungud diem aja lu,violence,anak pungud diem saja kamu
8480,melepaskan darinyahr tirmidzi sanad hasan syaikh al bani\nulama suu\xe2\x80\x99 sesatjahat menyuguhkan keburukan bentuk kebaikan membungkus kesesatan,neutral,melepaskan darinyahr tirmidzi sanad hasan syaikh all baninulama su sesatjahat menyuguhkan keburukan bentuk kebaikan membungkus kesesatan
8481,halah lu mah bacot asu lu antek antekny si user user side accny halah anjing,violence,halah kamu mah bacot asu kamu antek antekny si side acny halah anjing
8482,user titit dipake pipis aja,harassment,titit dipake pipis saja
8483,user ga asing corak kayu coklat nya hahahaha,neutral,tidak asing corak kayu coklat nya hahahaha
8484,nenek lu mati aja sono,violence,nenek kamu mati saja sono
8485,woy jawir main yg bner,racist,woy jawir main yang bner
8486,user kak ajarkan bicara orang asing extrovert gak outgoing puhliiiis hehehehe \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81,neutral,kak ajarkan bicara orang asing extrovert tidak outgoing puhlis hehehehe
8487,main aja poke kek kontol,harassment,main saja poke kek kontol
8488,ank kdm pch mndg diem,harassment,ank kdm pch mndg diem
8489,user selamat berenang kolam cebong,violence,selamat berenang kolam cebong
8490,user user user mendengar katakata orang tv pengetahuan dasar ekonomi,neutral,mendengar katakata orang tv pengetahuan dasar ekonomi
8491,user user user user user sahabat bangsad,violence,sahabat bangsad
8492,tai ah kalo emang ngerasa kerjaan disgraceful ngomong kek bilang terserah gimana gue abis gue ttd kontrak nawar2in lowongan,violence,tai ah kalau memang ngerasa kerjaan disgraceful ngomong kek bilang terserah gimana saya abis saya td kontrak nawarin lowongan
8493,jancok bajingan bangsat kontol asu,harassment,jancok bajingan bangsat kontol asu
8494,tititmu mledak mati aja sono,harassment,tititmu mledak mati saja sono
8495,menikah sesederhana ituâ¹ï¸ biar âcepet halalâ aja gimana ekonomiatau perbedaan pendapatkedewasaan menyikapi masalahâ¹ï¸,neutral,menikah sesederhana itu biar cepet halal saja gimana ekonomiatau perbedan pendapatkedewasan menyikapi masalah
8496,bapakmu dark system dek kntol,harassment,bapakmu dark system dek kntol
8497,tu cinasdh numpang cari makan hidup indonesia cari perkara pribumi usir nkri,racist,tu cinasdh numpang cari makan hidup indonesia cari perkara pribumi usir nkri
8498,user user user bencong teriak bencong,harassment,bencong teriak bencong
8499,hey dasar anak ngetod,harassment,hey dasar anak ngetod
8500,user berasa monyet v g,violence,berasa monyet v g
8501,mimpi sholeh allah mimpi buruk setan bukhari,neutral,mimpi sholeh alah mimpi buruk setan bukhari
8502,user kalo avatarnya sarap kebanyakan main ojek,violence,kalau avatarnya sarap kebanyakan main ojek
8503,â menekan laser pointernya slide berganti yaaaap hubungi ahlinya point point bicaralah pemimpin agama exorcist exorcism,neutral,menekan laser pointernya slide berganti yap hubungi ahlinya point point bicaralah pemimpin agama exorcist exorcism
8504,eh memek nge aim angin bangsat,harassment,eh memek nge aim angin bangsat
8505,user user user ko cebong g ade cerdas,violence,ko cebong g ade cerdas
8506,user bagas homo kemarin liat profile grundr,harassment,bagas homo kemarin liat profile grundr
8507,dimampusin aja udah tuh kunyuk penyembah lembu url,violence,dimampusin saja sudah tuh kunyuk penyembah lembu url
8508,user kamar malah\nsendiri glusar glusur kyak buaya kasur \n\xf0\x9f\x98\x81\xf0\x9f\x98\x81,neutral,kamar malahnsendiri glusar glusur kyak buaya kasur n
8509,user user rayap mah makanin kayu pea kunyuk wkwk,violence,rayap mah makanin kayu pea kunyuk
8510,tau lugu gak dek lucu guoblokkk,violence,tau lugu tidak dek lucu guoblok
8511,user auti auti autis qm yah dah banci autis serem lt,harassment,auti auti autis qm yah dah banci autis serem lt
8512,roamer goblok cupu lu kontol,harassment,roamer goblok cupu kamu kontol
8513,surga kaki ibumu kontol titid bapakmu kali ajg,harassment,surga kaki ibumu kontol titid bapakmu kali ajg
8514,liburan kampung halaman\n\nekspektasi\n nongkrong temen\n jalanjalan\n main pantai dll\n\nrealita\n ganti taplak meja\n ganti seprei\n ganti seng bocor\n ganti kepribadian,neutral,liburan kampung halamanekspektasin nongkrong temen jalanjalan main pantai dlnrealitan ganti taplak mejan ganti seprein ganti seng bocorn ganti kepribadian
8515,dasar guoblok utek udang dadi oq gateli,violence,dasar guoblok utek udang dadi oq gateli
8516,babi aim lu aja kontol anjg,harassment,babi aim kamu saja kontol anjg
8517,waifumu lontee pamer tt doang anjg,harassment,waifumu lonte pamer t doang anjg
8518,user user mengeluarkan lagu kampret yak tunggu tgl mainnya,violence,mengeluarkan lagu kampret yak tungu tgl mainya
8519,retri indomaret ajg dasar uler kadut,violence,retri indomaret ajg dasar uler kadut
8520,menganut agama buddha ajaran agama islam kristen hindu konghucu like her parent agama dunia yg buruk ajaran agama yg,neutral,menganut agama budha ajaran agama islam kristen hindu konghucu like her parent agama dunia yang buruk ajaran agama yang
8521,memek gatal kak kayaknya habis digigit serangga bantu kasih salep gak\n\n tutupin memek pakai selimut,harassment,memek gatal kak kayaknya habis digigit seranga bantu kasih salep gakn tutupin memek pakai selimut
8522,tertarik wawancara menyimak wawancara berakibat buruk kesehatan,neutral,tertarik wawancara menyimak wawancara berakibat buruk kesehatan
8523,monyet mak lu gw entod goblok,harassment,monyet mak kamu saya entod goblok
8524,memek ibumu bangsat anjing kau,harassment,memek ibumu bangsat anjing kau
8525,katolik tuh khusus dewan kepausan yg tugasnya meneliti memantau pergerakan dr aliran aksi spiritual dr umat dipimpin paus emeritus bene,neutral,katolik tuh khusus dewan kepausan yang tugasnya meneliti memantau pergerakan dari aliran aksi spiritual dari umat dipimpin paus emeritus bene
8526,user ngurus aja benarngurusi orang lainmulutnya nyinyir kaya banci lekong user,harassment,ngurus saja benarngurusi orang lainmulutnya nyinyir kaya banci lekong
8527,baca bae2 maz bli user menyama2 islam hindu diawal beliau \xe2\x80\x9ctdk menilai islam dlm kacamata hindu\xe2\x80\x9d \nbeliau menja,neutral,baca bae maz bli menyama islam hindu diawal beliau tidak menilai islam dlm kacamata hindu nbeliau menja
8528,cowok brengsek amp pengecut yg cewek trus berharap,violence,cowok brengsek amp pengecut yang cewek terus berharap
8529,7500 dapet ya dek,neutral,dapet ya dek
8530,mata apo jiteng dolanan seng genah,violence,mata apo jiteng dolanan seng genah
8531,user bangsat kelakuan teroris budha keparat,racist,bangsat kelakuan teroris budha keparat
8532,data bocor mulu blok kerja yg bener anjing,violence,data bocor mulu blok kerja yang benar anjing
8533,closed agency membernya kenal deket biar ga ngerasa asing,neutral,closed agency membernya kenal deket biar tidak ngerasa asing
8534,user beliau user mohon dibantu penjelasannya,neutral,beliau mohon dibantu penjelasanya
8535,kamseupay kampungan udik payah,violence,kamseupay kampungan udik payah
8536,semoga user sdh memikirkan ketimpangan penghasilan rencana âimporâ dosen dg gaji sktr rp 35 rp 60 jutabln gaji dosen dn s3 kerja sktr 25 thn sktr rp 8 jutabln,neutral,semoga sudah memikirkan ketimpangan penghasilan rencana impor dosen dg gaji sktr rp rp jutabln gaji dosen dn s kerja sktr thn sktr rp jutabln
8537,pergi mampus,violence,pergi mampus
8538,gendomg gendong mak lu yg lumpuh aja sono kuentod mak lu,harassment,gendomg gendong mak kamu yang lumpuh saja sono kuentod mak kamu
8539,jago cupu kontol,harassment,jago cupu kontol
8540,saverohingya fuck kafir teroris budha,racist,saverohingya fuck kafir teroris budha
8541,user yg kalem kntl,harassment,yang kalem kntl
8542,greg graffin album folky country tradisional berjudul millport yg namanya greg evolutionary biologist amp pentolan bad religion penggagas punk manifesto musik countrynya ganjil country kris,neutral,greg grafin album folky country tradisional berjudul milport yang namanya greg evolutionary biologist amp pentolan bad religion pengagas punk manifesto musik countrynya ganjil country kris
8543,niat elegan dgn puisi menampilkan kenorakan amp kedunguan jg bangga dgn budaya indonesia apa2an menyerang agama kampungan url,violence,niat elegan dengan puisi menampilkan kenorakan amp kedunguan juga banga dengan budaya indonesia apan menyerang agama kampungan url
8544,cupu besok ujian minggunya ad kegiatan tp berbaring d ko \xf0\x9f\x98\xb7,neutral,cupu besok ujian mingunya ad kegiatan tp berbaring d ko
8545,yatim bego jawa tolol babi,racist,yatim bego jawa tolol babi
8546,rokok g sob gw ga ngerokok men ah banci lu ga ngerokok ehh liat tuh banci pd ngerokok smua kaliiii eh iya bnr jg,harassment,rokok g sob saya tidak ngerokok men ah banci kamu tidak ngerokok eh liat tuh banci pd ngerokok smua kali eh iya bnr juga
8547,user user pink titit gmana titit warnanya coklat benyek,harassment,pink titit gmana titit warnanya coklat benyek
8548,user iyess ndk museum brawijaya pisan tank depannya bawa bom takjil hmm \xf0\x9f\x98\x90,neutral,iyes ndk museum brawijaya pisan tank depanya bawa bom takjil
8549,user si cina kutil babi,racist,si cina kutil babi
8550,sharlok dek kuentotin ditempat,harassment,sharlok dek kuentotin ditempat
8551,perang skin norak sasaran tembak lu,violence,perang skin norak sasaran tembak kamu
8552,kontol lu kusumpahin lu mati,harassment,kontol kamu kusumpahin kamu mati
8553,sampah dipojokan buk gak klo ngentd,harassment,sampah dipojokan buk tidak klo ngentd
8554,user user user budha kafir teroris,racist,budha kafir teroris
8555,turun pochinki kek lonte,harassment,turun pochinki kek lonte
8556,user cina keturunan setan,racist,cina keturunan setan
8557,sepupu pacaran ma pasangannya sd kali ya pa cinta monyet gitu gedenya kawin,neutral,sepupu pacaran ma pasanganya sd kali ya pa cinta monyet gitu gedenya kawin
8558,mangsa utama burung elang harpy monyet,neutral,mangsa utama burung elang harpy monyet
8559,jiaa lemah syahwat turun udah mati,harassment,jia lemah syahwat turun sudah mati
8560,nyipok tembok mulu mending cipok pantat mak kau,harassment,nyipok tembok mulu mending cipok pantat mak kau
8561,yatim mending gausah main moba kontol lu solo kek kehidupan lu coli,harassment,yatim mending gausah main moba kontol kamu solo kek kehidupan kamu coli
8562,paul pogba selebrasi gol terdengar tiruan suara monyet url,racist,paul pogba selebrasi gol terdengar tiruan suara monyet url
8563,cwe cakep tp begopantes gk lakusi cina bau taimakan bubur encercina faham komunis,racist,cwe cakep tp begopantes gk lakusi cina bau taimakan bubur encercina faham komunis
8564,bokep cewek bispak bandung ngentot croot,harassment,bokep cewek bispak bandung ngentot crot
8565,ngaceng jejeg aja belagu,harassment,ngaceng jejeg saja belagu
8566,kencing lurus aja sok bacot,harassment,kencing lurus saja sok bacot
8567,bacot mending diem jilat memek sapi aja,harassment,bacot mending diem jilat memek sapi saja
8568,anak yatim gak mending cari ortu,violence,anak yatim tidak mending cari ortu
8569,eh titid kuda laut mata lu bool bapaklu gmn,harassment,eh titid kuda laut mata kamu bol bapaklu gmn
8570,gak gw yg pulsanya raib gw emang ngerasa sih kayanya indosat emang boros banget pulsa tibatiba abis,neutral,tidak saya yang pulsanya raib saya memang ngerasa kayanya indosat memang boros banget pulsa tibatiba abis
8571,pantes yatim lu anak dajjal ya,violence,pantes yatim kamu anak dajal ya
8572,humor lo ampas bat anjay wkwkwk,violence,humor lo ampas bat anjay
8573,eh babi ngentot lucifer aj ajg,harassment,eh babi ngentot lucifer aj ajg
8574,pantes yatim gak ngewe bareng loe,harassment,pantes yatim tidak ngewe bareng loe
8575,cacad puya g sih biar gua ajarin ngentd yg bener,harassment,cacad puya g biar gua ajarin ngentd yang benar
8576,user gak baca gw dah tau kalo lou ban kopar kapir koplak koplok yg nalarnya bejad,racist,tidak baca saya dah tau kalau lou ban kopar kapir koplak koplok yang nalarnya bejad
8577,ngews bareng orang cacad gg,harassment,ngews bareng orang cacad g
8578,lu cacad ato yatim sih pilih aja gak diembat,violence,kamu cacad ato yatim pilih saja tidak diembat
8579,anjing cina sipit meniding mainland aja,racist,anjing cina sipit meniding mainland saja
8580,cinta buta biarkan memilih salah,neutral,cinta buta biarkan memilih salah
8581,insya allah kang user doakan ðð,neutral,insya alah kang doakan
8582,user gatau kak noob,neutral,gatau kak nob
8583,rohingya berguna ketimbang ortu loe,racist,rohingya berguna ketimbang ortu loe
8584,eh pipis kuda kuretakkan ginjal kau,violence,eh pipis kuda kuretakan ginjal kau
8585,anak kondom pecah mending main bareng sodaramu cacad,harassment,anak kondom pecah mending main bareng sodaramu cacad
8586,lu gak gw entod lumpuh anjing,harassment,kamu tidak saya entod lumpuh anjing
8587,âpengembangan industri nasional diarahkan menindaklanjuti produktivitas daya saing pengembangan teknologiâ leonard tampubolon deputi bidang ekonomi bappenas,neutral,pengembangan industri nasional diarahkan menindaklanjuti produktivitas daya saing pengembangan teknologi leonard tampubolon deputi bidang ekonomi bapenas
8588,yg menolak sweeping pekerja china komunis antek komunis bro yg melegalkan membuka pintu masuk,racist,yang menolak sweping pekerja china komunis antek komunis bro yang melegalkan membuka pintu masuk
8589,lucu banget tu cewe sange gue pengen hohohihe,harassment,lucu banget tu cewe sange saya pengen hohohihe
8590,kayaknya kokinya belajar masak ð cc bu user warga pesisir ikan bakar asap goreng pepes ditandem aneka sambal krupuk baso pempek dll ð masakan khas ikan daerah nusantara ð trust me it delici,neutral,kayaknya kokinya belajar masak c bu warga pesisir ikan bakar asap goreng pepes ditandem aneka sambal krupuk baso pempek dl masakan khas ikan daerah nusantara trust me it delici
8591,cina kafir harbi patut diberantas dikacungin,racist,cina kafir harbi patut diberantas dikacungin
8592,islam indahkristen itu\nkasihkatolik lembuthindu itu\ncinta n budha adlh dmai jngnlah\nrsak talus prsaudaraan dmi\nkpentingan pribadi,neutral,islam indahkristen itunkasihkatolik lembuthindu ituncinta n budha adlh dmai jngnlahnrsak talus prsaudaran dminkpentingan pribadi
8593,buku gt syekh yusuf ulama sufi pejuang abu hamid 2005 402 halaman harga 100000 minat,neutral,buku gt syekh yusuf ulama sufi pejuang abu hamid halaman harga minat
8594,prediksi togel hongkong kami 29 maret 2018\n\nangka main 9123\n\nmistik 6058\n\nangka jagaan 38 68 05\n\nshio monyet,neutral,prediksi togel hongkong kami maret nangka main nmistik nangka jagan nshio monyet
8595,eh janda cakep dianggurin buruan ajak ngews,harassment,eh janda cakep diangurin buruan ajak ngews
8596,1 manusia terkaga ntu sabar banget ngadepin gua wkwk idiot gari kera suka ngambek kg kdg nethink kg suka dikacangin moody kdg ngambek e bentar doang kaga ribut bullyable bocah bocah ya,neutral,manusia terkaga ntu sabar banget ngadepin gua idiot gari kera suka ngambek kg kdg nethink kg suka dikacangin mody kdg ngambek e bentar doang kaga ribut bulyable bocah bocah ya
8597,ritual hindu digelar india aceh menarapkan syariat islam kera,neutral,ritual hindu digelar india aceh menarapkan syariat islam kera
8598,toddd bacot lu mmek,harassment,tod bacot kamu mek
8599,user woiii kampret gelik gue liat lubelagu jd orangsongong penci jidat lu hah,violence,woi kampret gelik saya liat lubelagu jd orangsongong penci jidat kamu hah
8600,dasar pantek coli off,harassment,dasar pantek coli of
8601,user kelakuan homok jaman now mantap2 aja live,harassment,kelakuan homok jaman now mantap saja live
8602,user bunda skibidi papap yuk,harassment,bunda skibidi papap yuk
8603,user gak2 mar guyon anjir awm nek delok twt ku rausa risih yo biang cocot hehe,violence,tidak mar guyon anjir awm nek delok twt ku rausa risih yo biang cocot
8604,bolot emang kagak nyambung url,violence,bolot memang kagak nyambung url
8605,user kelakuan homok jaman now skibidi papap aja live,harassment,kelakuan homok jaman now skibidi papap saja live
8606,user bunda mantap2 yuk,harassment,bunda mantap yuk
8607,cewe hohohihe yuk mosok maen game virtual mulu kali maenlah abang kntol abang gede loh,harassment,cewe hohohihe yuk mosok maen game virtual mulu kali maenlah abang kntol abang gede loh
8608,sensasi mantapmantap cewek cantik berhijab,harassment,sensasi mantapmantap cewek cantik berhijab
8609,user skibidi papap donk,harassment,skibidi papap donk
8610,user butuh bom cinta kasih tulu,neutral,butuh bom cinta kasih tulu
8611,cewe mantap2 yuk mosok maen game virtual mulu kali maenlah abang kntl abang gede loh,harassment,cewe mantap yuk mosok maen game virtual mulu kali maenlah abang kntl abang gede loh
8612,user gua lupa pa baca unm u ga asing,neutral,gua lupa pa baca unm u tidak asing
8613,user mantapmantap donk,harassment,mantapmantap donk
8614,user selamat siang rute jakarta kotapondok cina tersedia pkl 1105 1120 1135 1203 1225 1235 wib tks,neutral,selamat siang rute jakarta kotapondok cina tersedia pkl wib tks
8615,user user user loe cebong dongo ya wkwkwk,violence,loe cebong dongo ya
8616,sensasi hohohihe cewek cantik berhijab,harassment,sensasi hohohihe cewek cantik berhijab
8617,otak bejat isinya kimpoi melulu,harassment,otak bejat isinya kimpoi melulu
